Priority,SN,ISSUE,Module,QA Status,DEV Status,Remark
P1,1,Import does not update quantities for existing SKUs in the same requisition list,Requisition List / Import,Open,Open,"After exporting a requisition list, editing the QTY values, and importing the same file back into the same requisition list, the system skips the SKUs as duplicates instead of updating their quantities. The message shown is: “No new items imported. 2 duplicate(s) skipped.” This prevents bulk quantity updates through the import feature."
P1,2,Repeated Add to Cart clicks during slow response create duplicate cart lines for the same SKU (see screenshot),Mini Cart / Homepage Add to Cart,Open,Open,"When the user clicks Add to Cart multiple times before the first action finishes, the same product and same size can be added as separate line items in the mini cart instead of merging into one line with updated quantity. If the user waits for the page response and then adds again, the cart behaves normally. This indicates weak handling of repeated clicks during loading."
P1,3,Edit item modal on checkout page sets product price to $0.00 when size is changed (see screenshot),Checkout Page / Edit Item Modal,Open,Open,"On the checkout page, when the user opens the edit item modal and changes the product size option, the displayed price becomes $0.00 for both size selections. This is incorrect behavior and creates a serious pricing inconsistency during cart editing."
P1,4,Call For Availability item can still be added to cart through wishlist (see screenshot),Wishlist / Cart Validation,Open,Open,"On the product listing page, items marked Call For Availability cannot be added directly to the cart, which is expected. However, the same item can still be added to the wishlist, and from the wishlist page the user is able to add it to the cart successfully. This bypasses the intended purchase restriction and allows unavailable items to appear in the cart and checkout flow."
P1,5,Call For Availability item can be added to cart through bulk action in requisition list (see screenshot),Requisition List / Cart Validation,Open,Open,"The requisition list correctly blocks direct Add to Cart for Call For Availability items at the individual row level, but the same restriction is not enforced during bulk Add to Cart. Users can therefore add unavailable items to the cart through the bulk action, which is a validation gap."
P1,6,Delivery date field flickers on checkout shipping step and then disappears,Checkout / Shipping Address,Open,Open,"On the Shipping Address step, a calendar/date selection field briefly appears and then disappears. Since the page text says the user can select a different delivery date using the calendar above, the missing field creates inconsistent behavior and makes the checkout step unclear."
P2,7,Quantity input value changes on mouse scroll when cursor is focused in the field,Homepage / Product Carousel,Open,Open,
P2,8,Requisition list quantity change is not saved after refresh,Order Guide / Requisition List,Open,Open,"In the Order Guide/Requisition List, the item quantity can be changed in the visible input field and the updated value is correctly used when Add to Cart is clicked. However, the changed quantity is not saved to the requisition list itself. After page refresh or revisiting the page, the original quantity is shown again. This is confusing because the interface allows quantity editing but does not provide a clear way to persist the updated value."
P2,9,No visible option to add more than one address,Address Book,Open,Open,"The Address Book page shows the default shipping address, but there is no clear option to add a new address entry. This limits account flexibility and is inconvenient for users who need to manage multiple delivery addresses."
P2,10,Full page reload occurs after clicking Add to Cart instead of updating cart dynamically,Homepage / Add to Cart,Open,Open,"After clicking Add to Cart, the entire page reloads even though only the cart state needs to be updated. This is not the expected behavior, as the cart should update dynamically without interrupting the user’s browsing flow."
P2,11,Size selector options render incorrectly and show duplicate values intermittently (see screenshot),Product Listing / Silvert Exclusives,Open,Open,"On the Silvert Exclusives product listing page, some product cards intermittently display duplicate size options, such as CASE/PC repeating or CASE/CASE appearing together. The issue may disappear after refresh, but it creates inconsistent UI behavior and may also affect other product listing pages."
P2,12,Edit item page does not prefill the current cart quantity,Cart / Edit Item,Open,Open,"When the user clicks Edit from the cart, the product edit page opens, but the quantity field is blank instead of showing the quantity currently in the cart. The current quantity should be prefilled to support proper item editing."
